X,Y,Z,U,V,W,MoveTime(ms)
-17.131,-30.95,245.489,-0.032,-0.24,0.057,1
-17.048,-30.902,245.565,-0.028,-0.244,0.059,1
-17.004,-30.81,245.637,-0.023,-0.247,0.063,1
-16.99,-30.685,245.702,-0.022,-0.247,0.068,1
-17.011,-30.527,245.759,-0.024,-0.247,0.073,1
-17.077,-30.324,245.773,-0.027,-0.246,0.076,1
-17.173,-30.069,245.742,-0.029,-0.245,0.076,1
-17.285,-29.763,245.691,-0.032,-0.245,0.074,1
-17.417,-29.434,245.626,-0.036,-0.244,0.075,1
-17.568,-29.113,245.549,-0.041,-0.24,0.08,1
-17.741,-28.792,245.459,-0.044,-0.234,0.087,1
-17.927,-28.452,245.343,-0.047,-0.227,0.092,1
-18.124,-28.111,245.185,-0.052,-0.218,0.094,1
-18.323,-27.779,244.991,-0.055,-0.209,0.096,1
-18.517,-27.438,244.779,-0.057,-0.201,0.096,1
-18.707,-27.096,244.576,-0.057,-0.192,0.097,1
-18.899,-26.762,244.402,-0.056,-0.185,0.098,1
-19.098,-26.436,244.249,-0.056,-0.179,0.098,1
-19.299,-26.108,244.116,-0.054,-0.169,0.096,1
-19.487,-25.76,244.03,-0.054,-0.159,0.092,1
-19.66,-25.372,243.983,-0.054,-0.15,0.089,1
-19.827,-24.943,243.939,-0.055,-0.14,0.087,1
-19.996,-24.487,243.872,-0.057,-0.129,0.085,1
-20.171,-24.026,243.784,-0.061,-0.119,0.082,1
-20.344,-23.562,243.695,-0.063,-0.109,0.079,1
-20.516,-23.085,243.622,-0.061,-0.098,0.078,1
-20.695,-22.573,243.559,-0.058,-0.089,0.075,1
-20.888,-22.015,243.476,-0.059,-0.079,0.069,1
-21.094,-21.428,243.351,-0.06,-0.069,0.063,1
-21.312,-20.841,243.212,-0.062,-0.057,0.056,1
-21.537,-20.248,243.093,-0.064,-0.046,0.05,1
-21.767,-19.619,242.98,-0.066,-0.035,0.044,1
-22.003,-18.958,242.851,-0.07,-0.025,0.037,1
-22.249,-18.306,242.721,-0.074,-0.017,0.03,1
-22.511,-17.686,242.639,-0.075,-0.009,0.026,1
-22.795,-17.08,242.615,-0.076,0,0.023,1
-23.098,-16.474,242.608,-0.078,0.011,0.02,1
-23.413,-15.886,242.592,-0.078,0.024,0.015,1
-23.737,-15.322,242.595,-0.075,0.039,0.01,1
-24.071,-14.764,242.64,-0.072,0.052,0.006,1
-24.413,-14.211,242.713,-0.073,0.061,0.005,1
-24.763,-13.689,242.8,-0.074,0.066,0.005,1
-25.119,-13.213,242.907,-0.074,0.071,0.002,1
-25.486,-12.753,243.034,-0.07,0.075,-0.001,1
-25.861,-12.283,243.152,-0.066,0.079,-0.001,1
-26.241,-11.822,243.243,-0.066,0.085,0.001,1
-26.618,-11.395,243.322,-0.068,0.092,0.002,1
-26.989,-10.992,243.421,-0.067,0.099,0.002,1
-27.353,-10.57,243.527,-0.064,0.105,-0.001,1
-27.708,-10.1,243.583,-0.062,0.108,-0.006,1
-28.051,-9.613,243.582,-0.06,0.111,-0.012,1
-28.381,-9.152,243.567,-0.058,0.111,-0.015,1
-28.707,-8.725,243.594,-0.054,0.112,-0.017,1
-29.028,-8.311,243.675,-0.052,0.113,-0.021,1
-29.339,-7.886,243.769,-0.052,0.114,-0.024,1
-29.631,-7.462,243.847,-0.054,0.115,-0.03,1
-29.902,-7.071,243.909,-0.054,0.116,-0.037,1
-30.158,-6.727,243.97,-0.051,0.116,-0.044,1
-30.406,-6.416,244.052,-0.049,0.115,-0.05,1
-30.65,-6.109,244.158,-0.045,0.112,-0.055,1
-30.885,-5.8,244.267,-0.042,0.109,-0.059,1
-31.105,-5.505,244.372,-0.039,0.106,-0.062,1
-31.31,-5.237,244.484,-0.036,0.105,-0.064,1
-31.506,-4.985,244.587,-0.033,0.103,-0.067,1
-31.694,-4.735,244.659,-0.031,0.099,-0.07,1
-31.866,-4.498,244.69,-0.03,0.093,-0.074,1
-32.022,-4.288,244.687,-0.028,0.086,-0.079,1
-32.167,-4.096,244.671,-0.024,0.081,-0.084,1
-32.304,-3.906,244.644,-0.019,0.077,-0.088,1
-32.43,-3.715,244.586,-0.014,0.072,-0.091,1
-32.545,-3.531,244.496,-0.01,0.066,-0.093,1
-32.644,-3.341,244.381,-0.006,0.059,-0.097,1
-32.725,-3.138,244.237,-0.005,0.052,-0.101,1
-32.785,-2.936,244.06,-0.004,0.046,-0.104,1
-32.826,-2.75,243.851,-0.005,0.04,-0.105,1
-32.853,-2.583,243.614,-0.005,0.032,-0.104,1
-32.866,-2.442,243.347,-0.006,0.022,-0.104,1
-32.862,-2.328,243.064,-0.008,0.013,-0.104,1
-32.835,-2.239,242.786,-0.01,0.003,-0.106,1
-32.783,-2.181,242.525,-0.012,-0.006,-0.107,1
-32.709,-2.163,242.283,-0.011,-0.014,-0.107,1
-32.614,-2.185,242.056,-0.013,-0.022,-0.105,1
-32.505,-2.23,241.84,-0.014,-0.03,-0.103,1
-32.385,-2.281,241.623,-0.016,-0.039,-0.104,1
-32.253,-2.336,241.393,-0.02,-0.047,-0.107,1
-32.106,-2.404,241.158,-0.023,-0.052,-0.11,1
-31.945,-2.483,240.932,-0.025,-0.055,-0.114,1
-31.772,-2.573,240.712,-0.029,-0.059,-0.116,1
-31.588,-2.679,240.494,-0.034,-0.063,-0.116,1
-31.394,-2.803,240.279,-0.038,-0.067,-0.115,1
-31.193,-2.931,240.071,-0.04,-0.067,-0.116,1
-30.987,-3.058,239.862,-0.037,-0.066,-0.116,1
-30.774,-3.198,239.661,-0.034,-0.063,-0.115,1
-30.555,-3.362,239.487,-0.032,-0.06,-0.113,1
-30.334,-3.544,239.344,-0.031,-0.057,-0.11,1
-30.112,-3.741,239.228,-0.031,-0.052,-0.108,1
-29.89,-3.946,239.141,-0.032,-0.046,-0.107,1
-29.669,-4.154,239.081,-0.032,-0.041,-0.106,1
-29.448,-4.365,239.039,-0.03,-0.037,-0.106,1
-29.23,-4.577,239.018,-0.028,-0.032,-0.105,1
-29.013,-4.8,239.021,-0.026,-0.029,-0.103,1
-28.802,-5.038,239.047,-0.024,-0.028,-0.1,1
-28.601,-5.285,239.089,-0.022,-0.031,-0.097,1
-28.409,-5.535,239.135,-0.02,-0.034,-0.094,1
-28.225,-5.786,239.182,-0.02,-0.035,-0.092,1
-28.049,-6.038,239.225,-0.02,-0.036,-0.09,1
-27.886,-6.29,239.259,-0.021,-0.035,-0.089,1
-27.732,-6.544,239.283,-0.024,-0.034,-0.085,1
-27.591,-6.802,239.3,-0.026,-0.034,-0.079,1
-27.462,-7.062,239.309,-0.026,-0.037,-0.073,1
-27.347,-7.316,239.307,-0.026,-0.042,-0.069,1
-27.244,-7.558,239.295,-0.027,-0.048,-0.066,1
-27.153,-7.789,239.27,-0.027,-0.054,-0.064,1
-27.073,-8.015,239.233,-0.028,-0.058,-0.061,1
-27.001,-8.238,239.177,-0.03,-0.061,-0.059,1
-26.936,-8.454,239.097,-0.03,-0.065,-0.054,1
-26.876,-8.661,238.997,-0.029,-0.074,-0.047,1
-26.822,-8.862,238.887,-0.027,-0.084,-0.043,1
-26.773,-9.057,238.774,-0.026,-0.092,-0.041,1
-26.732,-9.25,238.673,-0.025,-0.098,-0.039,1
-26.701,-9.442,238.591,-0.024,-0.106,-0.036,1
-26.681,-9.632,238.531,-0.025,-0.113,-0.034,1
-26.674,-9.82,238.486,-0.029,-0.118,-0.03,1
-26.681,-10.006,238.452,-0.033,-0.122,-0.024,1
-26.701,-10.185,238.432,-0.035,-0.122,-0.016,1
-26.738,-10.354,238.428,-0.034,-0.12,-0.008,1
-26.792,-10.51,238.447,-0.034,-0.116,-0.001,1
-26.867,-10.657,238.489,-0.034,-0.112,0.003,1
-26.964,-10.797,238.553,-0.034,-0.108,0.007,1
-27.082,-10.925,238.64,-0.031,-0.102,0.014,1
-27.218,-11.041,238.753,-0.027,-0.095,0.02,1
-27.373,-11.152,238.894,-0.024,-0.085,0.024,1
-27.545,-11.259,239.064,-0.023,-0.072,0.026,1
-27.735,-11.363,239.261,-0.023,-0.053,0.027,1
-27.941,-11.462,239.485,-0.019,-0.033,0.028,1
-28.16,-11.556,239.734,-0.014,-0.014,0.031,1
-28.392,-11.645,240.005,-0.01,0.004,0.037,1
-28.633,-11.728,240.297,-0.01,0.02,0.042,1
-28.883,-11.806,240.61,-0.008,0.037,0.046,1
-29.143,-11.878,240.944,-0.004,0.055,0.045,1
-29.416,-11.945,241.301,0,0.073,0.042,1
-29.702,-12.005,241.673,0.004,0.089,0.039,1
-30,-12.059,242.05,0.007,0.104,0.038,1
-30.307,-12.108,242.431,0.008,0.118,0.041,1
-30.625,-12.154,242.812,0.006,0.134,0.047,1
-30.955,-12.203,243.19,0.004,0.151,0.051,1
-31.298,-12.254,243.565,0.003,0.167,0.052,1
-31.651,-12.31,243.938,0.005,0.183,0.05,1
-32.013,-12.371,244.315,0.008,0.197,0.048,1
-32.386,-12.434,244.693,0.013,0.21,0.047,1
-32.769,-12.498,245.063,0.018,0.223,0.047,1
-33.163,-12.562,245.422,0.025,0.234,0.049,1
-33.566,-12.631,245.765,0.03,0.245,0.051,1
-33.98,-12.705,246.091,0.036,0.256,0.052,1
-34.402,-12.786,246.401,0.041,0.264,0.049,1
-34.827,-12.872,246.699,0.045,0.27,0.045,1
-35.256,-12.96,246.987,0.05,0.272,0.043,1
-35.689,-13.057,247.265,0.056,0.271,0.044,1
-36.128,-13.172,247.537,0.061,0.268,0.044,1
-36.57,-13.303,247.797,0.063,0.265,0.044,1
-37.014,-13.442,248.05,0.064,0.263,0.045,1
-37.452,-13.582,248.29,0.066,0.262,0.049,1
-37.885,-13.726,248.522,0.069,0.261,0.052,1
-38.31,-13.876,248.747,0.073,0.259,0.054,1
-38.726,-14.032,248.967,0.077,0.259,0.055,1
-39.133,-14.189,249.175,0.08,0.26,0.054,1
-39.529,-14.345,249.369,0.081,0.261,0.052,1
-39.914,-14.503,249.553,0.08,0.261,0.05,1
-40.29,-14.664,249.722,0.079,0.262,0.05,1
-40.657,-14.825,249.879,0.079,0.262,0.05,1
-41.01,-14.985,250.024,0.08,0.264,0.049,1
-41.352,-15.143,250.167,0.081,0.266,0.048,1
-41.681,-15.295,250.304,0.084,0.268,0.048,1
-41.998,-15.444,250.429,0.087,0.269,0.05,1
-42.303,-15.586,250.541,0.091,0.268,0.052,1
-42.596,-15.724,250.634,0.092,0.266,0.054,1
-42.879,-15.862,250.719,0.091,0.264,0.056,1
-43.151,-16.001,250.793,0.089,0.262,0.056,1
-43.408,-16.141,250.859,0.084,0.26,0.057,1
-43.647,-16.271,250.913,0.08,0.259,0.055,1
-43.865,-16.388,250.95,0.076,0.259,0.053,1
-44.064,-16.5,250.975,0.074,0.258,0.05,1
-44.242,-16.611,250.992,0.073,0.255,0.048,1
-44.396,-16.721,251.004,0.073,0.252,0.048,1
-44.525,-16.824,251.013,0.074,0.251,0.048,1
-44.628,-16.92,251.023,0.073,0.249,0.048,1
-44.705,-17.006,251.034,0.068,0.245,0.047,1
-44.758,-17.086,251.037,0.063,0.242,0.046,1
-44.786,-17.162,251.043,0.058,0.239,0.045,1
-44.79,-17.235,251.048,0.054,0.233,0.042,1
-44.769,-17.308,251.052,0.05,0.225,0.04,1
-44.724,-17.385,251.058,0.044,0.216,0.041,1
-44.656,-17.461,251.062,0.038,0.207,0.042,1
-44.568,-17.534,251.059,0.032,0.198,0.041,1
-44.461,-17.601,251.043,0.026,0.19,0.037,1
-44.339,-17.662,251.014,0.022,0.181,0.033,1
-44.201,-17.717,250.977,0.021,0.17,0.031,1
-44.044,-17.766,250.932,0.02,0.157,0.03,1
-43.871,-17.805,250.884,0.017,0.142,0.03,1
-43.682,-17.838,250.829,0.012,0.128,0.032,1
-43.479,-17.866,250.756,0.006,0.113,0.035,1
-43.267,-17.887,250.671,0,0.096,0.035,1
-43.045,-17.897,250.578,-0.004,0.078,0.036,1
-42.813,-17.898,250.478,-0.007,0.062,0.036,1
-42.572,-17.891,250.374,-0.011,0.047,0.037,1
-42.319,-17.874,250.269,-0.014,0.033,0.04,1
-42.055,-17.847,250.161,-0.017,0.02,0.044,1
-41.777,-17.811,250.05,-0.02,0.007,0.048,1
-41.488,-17.765,249.933,-0.02,-0.008,0.049,1
-41.19,-17.706,249.81,-0.019,-0.023,0.048,1
-40.879,-17.633,249.68,-0.018,-0.038,0.047,1
-40.558,-17.549,249.542,-0.02,-0.054,0.045,1
-40.227,-17.454,249.397,-0.022,-0.068,0.041,1
-39.887,-17.35,249.239,-0.025,-0.082,0.039,1
-39.541,-17.239,249.069,-0.028,-0.094,0.037,1
-39.189,-17.114,248.888,-0.03,-0.106,0.036,1
-38.831,-16.98,248.697,-0.033,-0.118,0.035,1
-38.473,-16.841,248.503,-0.037,-0.13,0.034,1
-38.118,-16.697,248.306,-0.04,-0.142,0.031,1
-37.766,-16.547,248.102,-0.043,-0.152,0.029,1
-37.418,-16.389,247.895,-0.043,-0.162,0.027,1
-37.073,-16.228,247.689,-0.042,-0.172,0.027,1
-36.74,-16.072,247.483,-0.043,-0.18,0.027,1
-36.416,-15.922,247.28,-0.045,-0.188,0.024,1
-36.101,-15.773,247.078,-0.048,-0.195,0.021,1
-35.795,-15.621,246.87,-0.051,-0.201,0.017,1
-35.499,-15.466,246.663,-0.054,-0.206,0.012,1
-35.214,-15.311,246.462,-0.057,-0.213,0.007,1
-34.944,-15.158,246.26,-0.058,-0.22,0.002,1
-34.685,-14.996,246.057,-0.056,-0.226,-0.001,1
-34.436,-14.821,245.85,-0.052,-0.23,-0.005,1
-34.197,-14.642,245.634,-0.049,-0.235,-0.01,1
-33.968,-14.465,245.412,-0.05,-0.24,-0.013,1
-33.748,-14.291,245.183,-0.053,-0.246,-0.014,1
-33.54,-14.112,244.943,-0.056,-0.25,-0.014,1
-33.342,-13.918,244.699,-0.056,-0.255,-0.015,1
-33.152,-13.716,244.458,-0.055,-0.262,-0.019,1
-32.974,-13.516,244.222,-0.055,-0.27,-0.027,1
-32.808,-13.319,244.005,-0.055,-0.277,-0.035,1
-32.652,-13.125,243.803,-0.056,-0.285,-0.043,1
-32.506,-12.932,243.616,-0.058,-0.291,-0.051,1
-32.369,-12.741,243.45,-0.061,-0.293,-0.056,1
-32.244,-12.562,243.299,-0.063,-0.296,-0.06,1
-32.132,-12.396,243.167,-0.065,-0.298,-0.064,1
-32.032,-12.239,243.061,-0.063,-0.301,-0.069,1
-31.944,-12.088,242.972,-0.059,-0.3,-0.073,1
-31.866,-11.943,242.893,-0.055,-0.297,-0.078,1
-31.799,-11.8,242.839,-0.055,-0.294,-0.086,1
-31.741,-11.662,242.801,-0.056,-0.29,-0.096,1
-31.696,-11.53,242.777,-0.058,-0.286,-0.106,1
-31.661,-11.402,242.787,-0.061,-0.283,-0.112,1
-31.635,-11.286,242.826,-0.064,-0.282,-0.115,1
-31.616,-11.183,242.881,-0.064,-0.282,-0.115,1
-31.603,-11.083,242.959,-0.063,-0.279,-0.114,1
-31.593,-10.982,243.045,-0.06,-0.274,-0.113,1
-31.589,-10.88,243.121,-0.055,-0.267,-0.117,1
-31.59,-10.775,243.201,-0.052,-0.259,-0.121,1
-31.595,-10.669,243.286,-0.049,-0.252,-0.127,1
-31.606,-10.567,243.359,-0.046,-0.247,-0.132,1
-31.62,-10.461,243.425,-0.043,-0.242,-0.134,1
-31.634,-10.347,243.49,-0.043,-0.238,-0.135,1
-31.647,-10.235,243.546,-0.042,-0.235,-0.135,1
-31.662,-10.132,243.593,-0.041,-0.23,-0.135,1
-31.683,-10.036,243.638,-0.041,-0.225,-0.134,1
-31.709,-9.942,243.668,-0.04,-0.22,-0.134,1
-31.74,-9.847,243.677,-0.038,-0.214,-0.137,1
-31.775,-9.754,243.678,-0.037,-0.206,-0.143,1
-31.813,-9.671,243.669,-0.036,-0.199,-0.149,1
-31.856,-9.6,243.644,-0.034,-0.192,-0.151,1
-31.901,-9.533,243.617,-0.032,-0.184,-0.153,1
-31.946,-9.474,243.591,-0.029,-0.175,-0.153,1
-31.994,-9.425,243.556,-0.027,-0.167,-0.152,1
-32.045,-9.383,243.52,-0.025,-0.158,-0.151,1
-32.094,-9.344,243.483,-0.025,-0.151,-0.149,1
-32.144,-9.31,243.436,-0.025,-0.146,-0.147,1
-32.194,-9.278,243.393,-0.025,-0.141,-0.147,1
-32.245,-9.249,243.359,-0.024,-0.136,-0.147,1
-32.296,-9.224,243.317,-0.021,-0.132,-0.147,1
-32.349,-9.202,243.27,-0.018,-0.126,-0.145,1
-32.399,-9.181,243.224,-0.016,-0.118,-0.139,1
-32.446,-9.16,243.172,-0.013,-0.112,-0.134,1
-32.492,-9.139,243.118,-0.01,-0.106,-0.131,1
-32.537,-9.123,243.074,-0.008,-0.101,-0.13,1
-32.579,-9.119,243.036,-0.005,-0.096,-0.128,1
-32.619,-9.124,243.006,-0.002,-0.091,-0.126,1
-32.656,-9.133,242.987,0.001,-0.086,-0.123,1
-32.69,-9.147,242.975,0.003,-0.082,-0.121,1
-32.727,-9.17,242.979,0.005,-0.078,-0.117,1
-32.764,-9.2,243.012,0.007,-0.073,-0.111,1
-32.8,-9.238,243.07,0.009,-0.066,-0.105,1
-32.837,-9.283,243.15,0.009,-0.058,-0.098,1
-32.877,-9.333,243.259,0.009,-0.054,-0.091,1
-32.919,-9.392,243.391,0.012,-0.052,-0.084,1
-32.962,-9.457,243.543,0.017,-0.048,-0.079,1
-33.003,-9.522,243.718,0.02,-0.041,-0.071,1
-33.04,-9.59,243.909,0.02,-0.034,-0.06,1
-33.077,-9.665,244.106,0.02,-0.027,-0.048,1
-33.115,-9.75,244.314,0.019,-0.021,-0.037,1
-33.152,-9.845,244.535,0.02,-0.017,-0.028,1
-33.186,-9.944,244.758,0.022,-0.015,-0.021,1
-33.215,-10.042,244.984,0.023,-0.012,-0.014,1
-33.24,-10.139,245.209,0.026,-0.008,-0.007,1
-33.263,-10.24,245.416,0.031,-0.001,0,1
-33.287,-10.345,245.61,0.035,0.006,0.009,1
-33.308,-10.454,245.793,0.038,0.011,0.018,1
-33.323,-10.567,245.951,0.04,0.015,0.023,1
-33.333,-10.683,246.093,0.039,0.019,0.026,1
-33.341,-10.806,246.225,0.036,0.022,0.031,1
-33.349,-10.94,246.338,0.035,0.025,0.036,1
-33.358,-11.078,246.433,0.036,0.027,0.041,1
-33.362,-11.211,246.516,0.037,0.028,0.043,1
-33.361,-11.344,246.579,0.038,0.026,0.043,1
-33.361,-11.481,246.623,0.039,0.024,0.041,1
-33.364,-11.622,246.658,0.038,0.024,0.041,1
-33.368,-11.765,246.679,0.035,0.026,0.043,1
-33.371,-11.907,246.691,0.031,0.029,0.048,1
-33.373,-12.049,246.708,0.027,0.032,0.055,1
-33.376,-12.198,246.72,0.023,0.035,0.061,1
-33.382,-12.357,246.724,0.02,0.036,0.064,1
-33.39,-12.522,246.726,0.018,0.037,0.067,1
-33.398,-12.692,246.725,0.016,0.039,0.07,1
-33.406,-12.862,246.718,0.013,0.039,0.073,1
-33.414,-13.026,246.712,0.007,0.04,0.073,1
-33.422,-13.187,246.702,0.002,0.041,0.072,1
-33.431,-13.347,246.68,-0.002,0.043,0.07,1
-33.443,-13.499,246.654,-0.006,0.046,0.071,1
-33.453,-13.641,246.627,-0.011,0.049,0.073,1
-33.461,-13.769,246.598,-0.013,0.056,0.072,1
-33.468,-13.887,246.575,-0.015,0.064,0.07,1
-33.474,-14.001,246.56,-0.017,0.069,0.067,1
-33.478,-14.112,246.546,-0.02,0.073,0.065,1
-33.482,-14.215,246.539,-0.023,0.077,0.066,1
-33.482,-14.307,246.546,-0.027,0.079,0.067,1
-33.481,-14.397,246.561,-0.03,0.082,0.066,1
-33.484,-14.493,246.591,-0.033,0.085,0.063,1
-33.488,-14.593,246.643,-0.034,0.088,0.059,1
-33.491,-14.69,246.703,-0.034,0.091,0.055,1
-33.491,-14.78,246.761,-0.034,0.097,0.051,1
-33.487,-14.863,246.823,-0.036,0.103,0.046,1
-33.481,-14.943,246.887,-0.039,0.109,0.042,1
-33.478,-15.022,246.95,-0.042,0.112,0.04,1
-33.476,-15.097,247.015,-0.046,0.114,0.042,1
-33.474,-15.166,247.075,-0.049,0.114,0.045,1
-33.471,-15.227,247.125,-0.05,0.114,0.048,1
-33.466,-15.28,247.176,-0.05,0.112,0.05,1
-33.459,-15.33,247.224,-0.048,0.111,0.053,1
-33.452,-15.38,247.262,-0.046,0.112,0.053,1
-33.443,-15.424,247.293,-0.048,0.113,0.053,1
-33.432,-15.463,247.316,-0.05,0.112,0.054,1
-33.419,-15.501,247.322,-0.051,0.111,0.053,1
-33.405,-15.537,247.318,-0.053,0.109,0.052,1
-33.387,-15.568,247.305,-0.054,0.109,0.054,1
-33.364,-15.593,247.276,-0.053,0.108,0.057,1
-33.338,-15.609,247.24,-0.052,0.106,0.059,1
-33.309,-15.622,247.204,-0.052,0.103,0.06,1
-33.277,-15.638,247.157,-0.05,0.099,0.058,1
-33.244,-15.653,247.102,-0.046,0.096,0.055,1
-33.205,-15.661,247.04,-0.04,0.094,0.051,1
-33.162,-15.666,246.962,-0.036,0.094,0.048,1
-33.115,-15.668,246.873,-0.035,0.095,0.046,1
-33.064,-15.666,246.781,-0.036,0.097,0.045,1
-33.009,-15.667,246.682,-0.037,0.097,0.045,1
-32.951,-15.67,246.579,-0.037,0.095,0.045,1
-32.888,-15.672,246.483,-0.039,0.091,0.044,1
-32.819,-15.674,246.384,-0.041,0.087,0.041,1
-32.747,-15.679,246.279,-0.042,0.081,0.037,1
-32.672,-15.684,246.177,-0.043,0.075,0.034,1
-32.594,-15.69,246.069,-0.043,0.073,0.032,1
-32.516,-15.697,245.949,-0.042,0.074,0.032,1
-32.434,-15.702,245.83,-0.04,0.075,0.034,1
-32.349,-15.707,245.712,-0.039,0.075,0.036,1
-32.262,-15.715,245.587,-0.039,0.072,0.035,1
-32.176,-15.723,245.466,-0.039,0.067,0.032,1
-32.085,-15.731,245.351,-0.038,0.06,0.03,1
-31.993,-15.742,245.239,-0.035,0.053,0.03,1
-31.901,-15.755,245.141,-0.033,0.049,0.031,1
-31.805,-15.769,245.062,-0.03,0.049,0.031,1
-31.709,-15.785,244.991,-0.027,0.048,0.029,1
-31.612,-15.799,244.935,-0.024,0.047,0.026,1
-31.512,-15.812,244.899,-0.023,0.046,0.024,1
-31.41,-15.824,244.872,-0.022,0.044,0.023,1
-31.31,-15.832,244.856,-0.018,0.041,0.021,1
-31.209,-15.833,244.854,-0.015,0.037,0.019,1
-31.107,-15.83,244.854,-0.014,0.035,0.019,1
-31.006,-15.822,244.857,-0.015,0.033,0.016,1
-30.906,-15.806,244.867,-0.015,0.033,0.012,1
-30.805,-15.79,244.878,-0.012,0.033,0.007,1
-30.707,-15.776,244.898,-0.011,0.034,0.006,1
-30.609,-15.762,244.944,-0.01,0.035,0.007,1
-30.512,-15.748,245.004,-0.009,0.036,0.006,1
-30.417,-15.729,245.068,-0.01,0.034,0.005,1
-30.324,-15.7,245.137,-0.011,0.032,0.004,1
-30.232,-15.667,245.201,-0.013,0.031,0.003,1
-30.143,-15.631,245.261,-0.013,0.032,0.001,1
-30.057,-15.588,245.334,-0.011,0.031,-0.001,1
-29.972,-15.541,245.418,-0.009,0.029,-0.003,1
-29.892,-15.49,245.499,-0.006,0.024,-0.006,1
-29.815,-15.434,245.577,-0.007,0.021,-0.01,1
-29.742,-15.376,245.65,-0.009,0.019,-0.011,1
-29.672,-15.319,245.71,-0.01,0.018,-0.008,1
-29.607,-15.256,245.764,-0.01,0.014,-0.004,1
-29.545,-15.188,245.813,-0.009,0.011,-0.002,1
-29.487,-15.119,245.846,-0.007,0.007,0.001,1
-29.433,-15.05,245.873,-0.006,0.004,0.001,1
-29.383,-14.977,245.897,-0.005,0.002,0.002,1
-29.336,-14.899,245.906,-0.005,-0.001,0.002,1
-29.293,-14.814,245.909,-0.007,-0.003,0.003,1
-29.252,-14.72,245.912,-0.012,-0.005,0.004,1
-29.213,-14.624,245.907,-0.015,-0.008,0.005,1
-29.178,-14.522,245.899,-0.019,-0.011,0.006,1
-29.146,-14.414,245.892,-0.022,-0.013,0.007,1
-29.116,-14.302,245.878,-0.024,-0.014,0.007,1
-29.09,-14.187,245.858,-0.026,-0.015,0.006,1
-29.066,-14.069,245.84,-0.03,-0.018,0.004,1
-29.044,-13.949,245.817,-0.032,-0.02,0.001,1
-29.029,-13.826,245.785,-0.034,-0.02,-0.002,1
-29.02,-13.699,245.754,-0.038,-0.02,-0.005,1
-29.014,-13.568,245.721,-0.043,-0.018,-0.008,1
-29.01,-13.435,245.682,-0.048,-0.015,-0.009,1
-29.008,-13.296,245.65,-0.048,-0.014,-0.008,1
-29.008,-13.151,245.617,-0.045,-0.014,-0.008,1
-29.01,-13.005,245.571,-0.042,-0.014,-0.008,1
-29.015,-12.862,245.526,-0.038,-0.013,-0.008,1
-29.021,-12.724,245.488,-0.036,-0.011,-0.009,1
-29.029,-12.589,245.453,-0.035,-0.007,-0.01,1
-29.04,-12.455,245.426,-0.035,-0.005,-0.01,1
-29.051,-12.326,245.404,-0.033,-0.005,-0.011,1
-29.065,-12.203,245.384,-0.028,-0.006,-0.012,1
-29.083,-12.08,245.377,-0.024,-0.006,-0.012,1
-29.105,-11.955,245.388,-0.025,-0.003,-0.011,1
-29.129,-11.836,245.407,-0.026,0,-0.009,1
-29.154,-11.725,245.443,-0.027,0.003,-0.006,1
-29.178,-11.622,245.503,-0.028,0.005,-0.002,1
-29.201,-11.528,245.574,-0.026,0.008,0,1
-29.224,-11.437,245.652,-0.022,0.01,0.003,1
-29.248,-11.345,245.739,-0.019,0.012,0.005,1
-29.271,-11.252,245.823,-0.017,0.013,0.007,1
-29.296,-11.157,245.904,-0.014,0.011,0.008,1
-29.322,-11.059,245.991,-0.009,0.007,0.011,1
-29.348,-10.959,246.072,-0.005,0.004,0.014,1
-29.374,-10.855,246.141,-0.004,0.001,0.018,1
-29.402,-10.745,246.203,-0.005,-0.001,0.021,1
-29.427,-10.632,246.25,-0.005,-0.001,0.024,1
-29.452,-10.519,246.282,-0.003,0,0.024,1
-29.478,-10.404,246.312,0,0,0.025,1
-29.502,-10.294,246.338,0.003,-0.004,0.029,1
-29.527,-10.192,246.355,0.004,-0.01,0.034,1
-29.553,-10.094,246.372,0.005,-0.014,0.036,1
-29.579,-9.999,246.387,0.008,-0.018,0.034,1
-29.606,-9.906,246.389,0.011,-0.019,0.033,1
-29.635,-9.817,246.39,0.013,-0.021,0.03,1
-29.663,-9.732,246.397,0.012,-0.021,0.028,1
-29.689,-9.653,246.398,0.01,-0.021,0.025,1
-29.714,-9.577,246.394,0.009,-0.021,0.021,1
-29.736,-9.503,246.383,0.01,-0.022,0.017,1
-29.756,-9.43,246.349,0.014,-0.023,0.013,1
-29.777,-9.357,246.301,0.018,-0.024,0.013,1
-29.793,-9.284,246.249,0.019,-0.024,0.013,1
-29.805,-9.215,246.184,0.021,-0.027,0.008,1
-29.815,-9.144,246.102,0.022,-0.029,0.002,1
-29.821,-9.066,246.009,0.025,-0.03,0,1
-29.823,-8.988,245.905,0.029,-0.029,0,1
-29.822,-8.913,245.799,0.032,-0.028,0.002,1
-29.818,-8.842,245.699,0.031,-0.027,0.003,1
-29.808,-8.777,245.597,0.032,-0.026,0,1
-29.797,-8.717,245.494,0.034,-0.025,-0.002,1
-29.782,-8.662,245.399,0.034,-0.023,-0.003,1
-29.763,-8.614,245.306,0.032,-0.021,-0.004,1
-29.742,-8.574,245.215,0.03,-0.021,-0.005,1
-29.718,-8.539,245.134,0.028,-0.023,-0.003,1
-29.691,-8.511,245.058,0.024,-0.027,-0.002,1
-29.662,-8.494,244.98,0.021,-0.029,-0.003,1
