X,Y,Z,U,V,W,MoveTime(ms)
-29.295,-5.466,237.037,0.051,-0.208,0.011,1
-28.788,-5.668,236.827,0.048,-0.226,0.013,1
-28.281,-5.86,236.651,0.042,-0.245,0.014,1
-27.778,-6.043,236.516,0.035,-0.263,0.013,1
-27.279,-6.213,236.418,0.028,-0.275,0.012,1
-26.783,-6.363,236.345,0.024,-0.283,0.011,1
-26.291,-6.494,236.3,0.022,-0.291,0.013,1
-25.805,-6.61,236.3,0.019,-0.3,0.015,1
-25.336,-6.72,236.351,0.015,-0.309,0.015,1
-24.884,-6.823,236.447,0.009,-0.319,0.014,1
-24.446,-6.913,236.577,0,-0.325,0.012,1
-24.024,-6.98,236.733,-0.01,-0.327,0.01,1
-23.624,-7.018,236.922,-0.018,-0.325,0.007,1
-23.244,-7.034,237.167,-0.024,-0.321,0.003,1
-22.892,-7.043,237.477,-0.029,-0.316,0,1
-22.573,-7.046,237.839,-0.034,-0.309,-0.005,1
-22.277,-7.04,238.232,-0.041,-0.301,-0.011,1
-22,-7.023,238.64,-0.051,-0.293,-0.018,1
-21.752,-7,239.046,-0.064,-0.284,-0.024,1
-21.54,-6.973,239.442,-0.076,-0.275,-0.027,1
-21.362,-6.935,239.816,-0.086,-0.268,-0.03,1
-21.211,-6.88,240.144,-0.093,-0.264,-0.033,1
-21.09,-6.799,240.416,-0.096,-0.259,-0.038,1
-21,-6.69,240.632,-0.097,-0.25,-0.045,1
-20.933,-6.555,240.787,-0.1,-0.24,-0.056,1
-20.883,-6.406,240.891,-0.104,-0.233,-0.069,1
-20.852,-6.249,240.958,-0.111,-0.228,-0.079,1
-20.841,-6.084,240.985,-0.116,-0.226,-0.089,1
-20.854,-5.907,240.955,-0.117,-0.225,-0.098,1
-20.894,-5.713,240.852,-0.117,-0.222,-0.107,1
-20.96,-5.504,240.673,-0.119,-0.218,-0.116,1
-21.046,-5.287,240.398,-0.122,-0.217,-0.126,1
-21.149,-5.062,240.031,-0.123,-0.219,-0.136,1
-21.272,-4.828,239.606,-0.123,-0.222,-0.147,1
-21.414,-4.594,239.137,-0.126,-0.225,-0.157,1
-21.572,-4.362,238.624,-0.126,-0.231,-0.166,1
-21.746,-4.121,238.079,-0.127,-0.237,-0.174,1
-21.944,-3.873,237.535,-0.128,-0.241,-0.18,1
-22.176,-3.624,237.008,-0.13,-0.242,-0.185,1
-22.444,-3.381,236.514,-0.132,-0.244,-0.19,1
-22.745,-3.148,236.064,-0.133,-0.246,-0.194,1
-23.079,-2.926,235.661,-0.133,-0.245,-0.2,1
-23.451,-2.71,235.314,-0.131,-0.24,-0.205,1
-23.86,-2.501,235.048,-0.13,-0.23,-0.209,1
-24.3,-2.305,234.881,-0.127,-0.217,-0.215,1
-24.765,-2.121,234.824,-0.123,-0.2,-0.222,1
-25.254,-1.939,234.889,-0.117,-0.182,-0.228,1
-25.768,-1.761,235.09,-0.11,-0.163,-0.233,1
-26.306,-1.593,235.427,-0.103,-0.139,-0.234,1
-26.859,-1.444,235.882,-0.098,-0.109,-0.232,1
-27.415,-1.321,236.44,-0.094,-0.074,-0.229,1
-27.974,-1.225,237.086,-0.088,-0.038,-0.23,1
-28.54,-1.159,237.812,-0.077,-0.003,-0.234,1
